id,direct_fixed,eff_year,award_id,total_funding
"('Directorate For Mathematical & Physical Sciences', 1992)",Directorate For Mathematical & Physical Sciences,1992,1868,1023663808
"('Directorate For Mathematical & Physical Sciences', 1993)",Directorate For Mathematical & Physical Sciences,1993,1686,547986846
"('Directorate For Mathematical & Physical Sciences', 1994)",Directorate For Mathematical & Physical Sciences,1994,1830,1052195510
"('Directorate For Mathematical & Physical Sciences', 1995)",Directorate For Mathematical & Physical Sciences,1995,1723,435096053
"('Directorate For Mathematical & Physical Sciences', 1996)",Directorate For Mathematical & Physical Sciences,1996,1636,665374546
"('Directorate For Mathematical & Physical Sciences', 1997)",Directorate For Mathematical & Physical Sciences,1997,1859,651469606
"('Directorate For Mathematical & Physical Sciences', 1998)",Directorate For Mathematical & Physical Sciences,1998,1752,564416676
"('Directorate For Mathematical & Physical Sciences', 1999)",Directorate For Mathematical & Physical Sciences,1999,1722,705650413
"('Directorate For Mathematical & Physical Sciences', 2000)",Directorate For Mathematical & Physical Sciences,2000,2035,733889773
"('Directorate For Mathematical & Physical Sciences', 2001)",Directorate For Mathematical & Physical Sciences,2001,1969,2089570962
"('Directorate For Mathematical & Physical Sciences', 2002)",Directorate For Mathematical & Physical Sciences,2002,2088,875981178
"('Directorate For Mathematical & Physical Sciences', 2003)",Directorate For Mathematical & Physical Sciences,2003,2246,877553784
"('Directorate For Mathematical & Physical Sciences', 2004)",Directorate For Mathematical & Physical Sciences,2004,1949,697345163
"('Directorate For Mathematical & Physical Sciences', 2005)",Directorate For Mathematical & Physical Sciences,2005,1992,965876065
"('Directorate For Mathematical & Physical Sciences', 2006)",Directorate For Mathematical & Physical Sciences,2006,2163,988857931
"('Directorate For Mathematical & Physical Sciences', 2007)",Directorate For Mathematical & Physical Sciences,2007,2353,929326362
"('Directorate For Mathematical & Physical Sciences', 2008)",Directorate For Mathematical & Physical Sciences,2008,2269,1157153647
"('Directorate For Mathematical & Physical Sciences', 2009)",Directorate For Mathematical & Physical Sciences,2009,3036,1976692559
"('Directorate For Mathematical & Physical Sciences', 2010)",Directorate For Mathematical & Physical Sciences,2010,2507,1344790093
"('Directorate For Mathematical & Physical Sciences', 2011)",Directorate For Mathematical & Physical Sciences,2011,2152,1012829979
"('Directorate For Mathematical & Physical Sciences', 2012)",Directorate For Mathematical & Physical Sciences,2012,2285,903614574
"('Directorate For Mathematical & Physical Sciences', 2013)",Directorate For Mathematical & Physical Sciences,2013,1979,915724088
"('Directorate For Mathematical & Physical Sciences', 2014)",Directorate For Mathematical & Physical Sciences,2014,1714,1455097661
"('Directorate For Mathematical & Physical Sciences', 2015)",Directorate For Mathematical & Physical Sciences,2015,1989,1112871496
