,division_fixed,eff_year,award_id,total_funding
2363,office of the director,2017,1,114355
2364,pcm,1975,1,0
2365,pcm,1977,1,54000
2366,pcm,1978,11,1327151
2367,prm,1974,2,248752
2368,prm,1976,2,22070
2369,prm,1977,5,287418
2370,prm,1978,8,236322
2371,prm,1979,19,7809040
2372,prm,1980,30,550482
2373,prm,1981,11,300553
2374,prm,1982,26,809914
2375,prm,1983,2,73989
2376,ser,1976,94,4194888
2377,ser,1977,103,4144600
2378,ser,1978,91,3285093
2379,ser,1979,89,3741325
2380,ser,1980,79,6775225
2381,ser,1981,70,2816192
