Regionlevel,Entity,Code,Date,Total confirmed deaths (deaths),Total confirmed cases (cases)
,United States,USA,23-Feb-20,,35
,United States,USA,24-Feb-20,,35
,United States,USA,25-Feb-20,,53
,United States,USA,26-Feb-20,,53
,United States,USA,27-Feb-20,,59
,United States,USA,28-Feb-20,,60
,United States,USA,29-Feb-20,,66
,United States,USA,1-Mar-20,1,69
,United States,USA,2-Mar-20,2,89
,United States,USA,3-Mar-20,6,103
,United States,USA,4-Mar-20,9,125
,United States,USA,5-Mar-20,11,159
,United States,USA,6-Mar-20,12,233
,United States,USA,7-Mar-20,14,338
,United States,USA,8-Mar-20,17,433
,United States,USA,9-Mar-20,21,554
,United States,USA,10-Mar-20,26,754
,United States,USA,11-Mar-20,28,1025
,United States,USA,12-Mar-20,30,1312
,United States,USA,13-Mar-20,40,1663
,United States,USA,14-Mar-20,47,2174
,United States,USA,15-Mar-20,57,2951
,United States,USA,16-Mar-20,69,3774
,United States,USA,17-Mar-20,85,4661
,United States,USA,18-Mar-20,108,6427
,United States,USA,19-Mar-20,150,9415
,United States,USA,20-Mar-20,150,14250
,United States,USA,21-Mar-20,260,19624
,United States,USA,22-Mar-20,340,26747
,United States,USA,23-Mar-20,471,35206
,United States,USA,24-Mar-20,590,46442
,United States,USA,25-Mar-20,801,55231
,United States,USA,26-Mar-20,1050,69194
,United States,USA,27-Mar-20,1296,85991
,United States,USA,28-Mar-20,1707,104686
,United States,USA,29-Mar-20,2191,124665
,United States,USA,30-Mar-20,2509,143025
,United States,USA,31-Mar-20,3170,164620
,United States,USA,1-Apr-20,4079,189618
,United States,USA,2-Apr-20,5138,216721
,United States,USA,3-Apr-20,6053,245540
,United States,USA,4-Apr-20,7157,277965
,United States,USA,5-Apr-20,8501,312237
,United States,USA,6-Apr-20,9647,337635
,United States,USA,7-Apr-20,10989,368196
,United States,USA,8-Apr-20,12895,398809
,United States,USA,9-Apr-20,14817,432132
,United States,USA,10-Apr-20,16690,466033
,United States,USA,11-Apr-20,18777,501560
,United States,USA,12-Apr-20,20608,529951
,United States,USA,13-Apr-20,22108,557571
,United States,USA,14-Apr-20,23649,582594
,United States,USA,15-Apr-20,26057,609516
,United States,USA,16-Apr-20,30985,639664
,United States,USA,17-Apr-20,33284,671331
,United States,USA,18-Apr-20,37054,702164
,United States,USA,19-Apr-20,38910,735086
,United States,USA,20-Apr-20,40682,759687
,United States,USA,21-Apr-20,42539,787752
,United States,USA,22-Apr-20,45063,825041
,United States,USA,23-Apr-20,46784,842629
,United States,USA,24-Apr-20,49963,869172
,United States,USA,25-Apr-20,51017,890524
,United States,USA,26-Apr-20,53189,939053
,United States,USA,27-Apr-20,54876,965910
,United States,USA,28-Apr-20,56245,988451
,United States,USA,29-Apr-20,58355,1012583
,United States,USA,30-Apr-20,60966,1039909
,United States Virgin Islands,VIR,24-Mar-20,,17
,United States Virgin Islands,VIR,25-Mar-20,,17
,United States Virgin Islands,VIR,26-Mar-20,,17
,United States Virgin Islands,VIR,27-Mar-20,,17
,United States Virgin Islands,VIR,28-Mar-20,,19
,United States Virgin Islands,VIR,29-Mar-20,,22
,United States Virgin Islands,VIR,30-Mar-20,,30
,United States Virgin Islands,VIR,1-Apr-20,,30
,United States Virgin Islands,VIR,2-Apr-20,,30
,United States Virgin Islands,VIR,3-Apr-20,,33
,United States Virgin Islands,VIR,4-Apr-20,,40
,United States Virgin Islands,VIR,5-Apr-20,,40
,United States Virgin Islands,VIR,6-Apr-20,1,42
,United States Virgin Islands,VIR,7-Apr-20,1,42
,United States Virgin Islands,VIR,8-Apr-20,1,45
,United States Virgin Islands,VIR,9-Apr-20,1,45
,United States Virgin Islands,VIR,10-Apr-20,1,50
,United States Virgin Islands,VIR,11-Apr-20,1,50
,United States Virgin Islands,VIR,12-Apr-20,1,51
,United States Virgin Islands,VIR,13-Apr-20,1,51
,United States Virgin Islands,VIR,14-Apr-20,1,51
,United States Virgin Islands,VIR,15-Apr-20,1,51
,United States Virgin Islands,VIR,16-Apr-20,1,51
,United States Virgin Islands,VIR,17-Apr-20,1,51
,United States Virgin Islands,VIR,18-Apr-20,2,51
,United States Virgin Islands,VIR,19-Apr-20,3,53
,United States Virgin Islands,VIR,20-Apr-20,3,53
,United States Virgin Islands,VIR,21-Apr-20,3,54
,United States Virgin Islands,VIR,22-Apr-20,3,54
,United States Virgin Islands,VIR,23-Apr-20,3,54
,United States Virgin Islands,VIR,24-Apr-20,3,54
,United States Virgin Islands,VIR,25-Apr-20,3,54
,United States Virgin Islands,VIR,26-Apr-20,3,55
,United States Virgin Islands,VIR,27-Apr-20,3,55
,United States Virgin Islands,VIR,28-Apr-20,4,59
,United States Virgin Islands,VIR,29-Apr-20,4,59
,United States Virgin Islands,VIR,30-Apr-20,4,66
excl,Upper middle income,,31-Dec-19,,27
excl,Upper middle income,,1-Jan-20,,27
excl,Upper middle income,,2-Jan-20,,27
excl,Upper middle income,,3-Jan-20,,44
excl,Upper middle income,,4-Jan-20,,44
excl,Upper middle income,,5-Jan-20,,59
excl,Upper middle income,,6-Jan-20,,59
excl,Upper middle income,,7-Jan-20,,59
excl,Upper middle income,,8-Jan-20,,59
excl,Upper middle income,,9-Jan-20,,59
excl,Upper middle income,,10-Jan-20,,59
excl,Upper middle income,,11-Jan-20,1,59
excl,Upper middle income,,12-Jan-20,1,59
excl,Upper middle income,,13-Jan-20,1,60
excl,Upper middle income,,14-Jan-20,1,60
excl,Upper middle income,,15-Jan-20,2,60
excl,Upper middle income,,16-Jan-20,2,60
excl,Upper middle income,,17-Jan-20,2,65
excl,Upper middle income,,18-Jan-20,2,82
excl,Upper middle income,,19-Jan-20,3,218
excl,Upper middle income,,20-Jan-20,3,237
excl,Upper middle income,,21-Jan-20,6,388
excl,Upper middle income,,22-Jan-20,17,530
excl,Upper middle income,,23-Jan-20,17,627
excl,Upper middle income,,24-Jan-20,26,886
excl,Upper middle income,,25-Jan-20,41,1331
excl,Upper middle income,,26-Jan-20,56,1997
excl,Upper middle income,,27-Jan-20,81,2787
excl,Upper middle income,,28-Jan-20,106,4547
excl,Upper middle income,,29-Jan-20,132,6016
excl,Upper middle income,,30-Jan-20,170,7756
excl,Upper middle income,,31-Jan-20,213,9737
excl,Upper middle income,,1-Feb-20,259,11839
excl,Upper middle income,,2-Feb-20,304,14429
excl,Upper middle income,,3-Feb-20,361,17241
excl,Upper middle income,,4-Feb-20,426,20478
excl,Upper middle income,,5-Feb-20,492,24358
excl,Upper middle income,,6-Feb-20,564,28087
excl,Upper middle income,,7-Feb-20,637,31249
excl,Upper middle income,,8-Feb-20,723,34675
excl,Upper middle income,,9-Feb-20,812,37283
excl,Upper middle income,,10-Feb-20,909,40259
excl,Upper middle income,,11-Feb-20,1017,42749
excl,Upper middle income,,12-Feb-20,1114,44778
excl,Upper middle income,,13-Feb-20,1368,59919
excl,Upper middle income,,14-Feb-20,1381,64076
excl,Upper middle income,,15-Feb-20,1524,66617
excl,Upper middle income,,16-Feb-20,1666,68625
excl,Upper middle income,,17-Feb-20,1771,70677
excl,Upper middle income,,18-Feb-20,1869,72568
excl,Upper middle income,,19-Feb-20,2008,74318
excl,Upper middle income,,20-Feb-20,2122,74714
excl,Upper middle income,,21-Feb-20,2240,75608
excl,Upper middle income,,22-Feb-20,2351,76448
excl,Upper middle income,,23-Feb-20,2450,77105
excl,Upper middle income,,24-Feb-20,2603,77338
excl,Upper middle income,,25-Feb-20,2677,77874
excl,Upper middle income,,26-Feb-20,2732,78327
excl,Upper middle income,,27-Feb-20,2765,78813
excl,Upper middle income,,28-Feb-20,2816,79252
excl,Upper middle income,,29-Feb-20,2871,79834
excl,Upper middle income,,1-Mar-20,2916,80628
excl,Upper middle income,,2-Mar-20,2969,81244
excl,Upper middle income,,3-Mar-20,3013,81902
excl,Upper middle income,,4-Mar-20,3061,82876
excl,Upper middle income,,5-Mar-20,3107,83615
excl,Upper middle income,,6-Mar-20,3154,84414
excl,Upper middle income,,7-Mar-20,3199,85817
excl,Upper middle income,,8-Mar-20,3248,86981
excl,Upper middle income,,9-Mar-20,3324,87833
excl,Upper middle income,,10-Mar-20,3384,88499
excl,Upper middle income,,11-Mar-20,3461,89489
excl,Upper middle income,,12-Mar-20,3540,90651
excl,Upper middle income,,13-Mar-20,3624,91903
excl,Upper middle income,,14-Mar-20,3728,93448
excl,Upper middle income,,15-Mar-20,3837,95091
excl,Upper middle income,,16-Mar-20,3966,96930
excl,Upper middle income,,17-Mar-20,4104,98582
excl,Upper middle income,,18-Mar-20,4261,100401
excl,Upper middle income,,19-Mar-20,4427,102465
excl,Upper middle income,,20-Mar-20,4590,104653
excl,Upper middle income,,21-Mar-20,4774,107508
excl,Upper middle income,,22-Mar-20,4939,110321
excl,Upper middle income,,23-Mar-20,5116,113538
excl,Upper middle income,,24-Mar-20,5290,116996
excl,Upper middle income,,25-Mar-20,5468,120920
excl,Upper middle income,,26-Mar-20,5666,125769
excl,Upper middle income,,27-Mar-20,5912,131828
excl,Upper middle income,,28-Mar-20,6143,139539
excl,Upper middle income,,29-Mar-20,6382,146872
excl,Upper middle income,,30-Mar-20,6617,154187
excl,Upper middle income,,31-Mar-20,6859,161425
excl,Upper middle income,,1-Apr-20,7200,171034
excl,Upper middle income,,2-Apr-20,7579,180364
excl,Upper middle income,,3-Apr-20,7939,189976
excl,Upper middle income,,4-Apr-20,8243,197361
excl,Upper middle income,,5-Apr-20,8840,209977
excl,Upper middle income,,6-Apr-20,9240,220113
excl,Upper middle income,,7-Apr-20,9655,229815
excl,Upper middle income,,8-Apr-20,10142,241695
excl,Upper middle income,,9-Apr-20,10647,255811
excl,Upper middle income,,10-Apr-20,11192,269145
excl,Upper middle income,,11-Apr-20,11743,285068
excl,Upper middle income,,12-Apr-20,12216,298643
excl,Upper middle income,,13-Apr-20,12728,312349
excl,Upper middle income,,14-Apr-20,13188,324696
excl,Upper middle income,,15-Apr-20,13830,340620
excl,Upper middle income,,16-Apr-20,14455,357211
excl,Upper middle income,,17-Apr-20,16349,374084
excl,Upper middle income,,18-Apr-20,17001,392152
excl,Upper middle income,,19-Apr-20,17710,409230
excl,Upper middle income,,20-Apr-20,18263,427200
excl,Upper middle income,,21-Apr-20,18814,444760
excl,Upper middle income,,22-Apr-20,19523,463583
excl,Upper middle income,,23-Apr-20,20235,481456
excl,Upper middle income,,24-Apr-20,21134,500293
excl,Upper middle income,,25-Apr-20,22064,519063
excl,Upper middle income,,26-Apr-20,22898,542421
excl,Upper middle income,,27-Apr-20,23467,573233
excl,Upper middle income,,28-Apr-20,24346,592579
excl,Upper middle income,,29-Apr-20,25550,615824
excl,Upper middle income,,30-Apr-20,26624,639673
,Uruguay,URY,15-Mar-20,,6
,Uruguay,URY,16-Mar-20,,8
,Uruguay,URY,17-Mar-20,,29
,Uruguay,URY,18-Mar-20,,50
,Uruguay,URY,19-Mar-20,,79
,Uruguay,URY,20-Mar-20,,94
,Uruguay,URY,21-Mar-20,,110
,Uruguay,URY,22-Mar-20,,135
,Uruguay,URY,23-Mar-20,,158
,Uruguay,URY,24-Mar-20,,162
,Uruguay,URY,25-Mar-20,,189
,Uruguay,URY,26-Mar-20,,217
,Uruguay,URY,27-Mar-20,,238
